AGE,BEDRMS,BUILT,NUNITS,ROOMS,WEIGHT,UTILITY
66,4,2006,1,7,2430.528767,199
24,1,1980,10,3,4357.73152,59
36,3,2010,16,6,3896.972205,172
38,2,2008,304,4,2023.315664,123.5
58,5,2004,1,10,468.2512981,368.3333333
44,5,1985,1,11,2689.358817,813.25
41,1,1985,4,4,2540.120305,163
40,3,2005,1,5,335.7960087,260
57,4,1985,1,7,2600.733138,354
39,3,1990,1,6,3232.608824,576.0833333
54,6,2004,1,13,2126.897018,175
76,3,2006,1,8,2154.755063,100
25,3,2008,12,6,2360.462023,232
37,3,2007,12,6,2431.57547,86
50,2,1985,1,4,3433.155169,143.3333333
60,5,2004,1,10,2827.900446,362
40,0,2006,78,2,1777.432835,54
39,2,2008,199,5,2057.227558,55
-9,2,1980,1,4,1517.167338,143
39,4,2007,1,9,906.5652738,415.3333333
50,3,1985,1,7,2846.904598,163.1666667
88,2,2005,1,5,1699.269016,181
36,3,2004,1,6,2168.14185,200.5
44,3,2006,6,6,2763.895901,237
52,5,2004,1,10,2753.245887,397.5
35,3,2006,1,5,2304.15587,146.3333333
35,3,2006,1,5,2739.088219,182.6666667
41,4,1990,1,9,3458.008533,213
71,4,1990,1,7,3423.205599,123
-9,4,2004,1,7,2002.007556,33.33333333
31,2,2007,8,4,3460.918538,109
34,2,2007,8,4,2619.04539,152
57,1,1980,12,3,2835.567377,143
35,3,1980,1,5,3118.157155,202
65,3,1985,1,5,1130.98779,122.3333333
36,2,1980,1,5,1347.366022,216
56,4,1980,1,9,1073.510251,530.4166667
58,4,1985,1,8,2798.520588,189.5
58,3,2004,1,5,1796.303661,228
41,4,2008,1,7,2292.411478,293
28,3,2007,1,5,2962.916001,213.6666667
62,4,1980,1,9,2292.781114,210.25
66,1,1985,1,4,2371.991442,7
42,4,2005,1,7,2662.604904,432.1666667
93,2,2006,28,6,1774.27169,70
29,2,2006,5,4,3419.695069,123
72,3,2004,1,6,3039.040605,254
65,3,1985,1,7,3096.702307,248.25
58,3,1990,1,5,3395.145718,133.6666667
41,4,2003,1,8,2710.710419,272.1666667
84,3,1980,1,7,2371.807879,185.6666667
41,2,1980,8,4,2187.137398,171
32,4,2004,1,7,2525.4401,206.5
57,3,1980,1,6,2515.38969,79
65,2,1985,1,4,2627.180684,87
32,3,2006,1,7,2694.189631,188
37,4,2007,8,7,2643.295211,268
39,3,1980,1,6,2501.687817,285
56,4,2006,1,8,2128.337876,239
30,3,2007,1,5,1774.399794,187
37,3,2004,1,7,2086.991569,273.75
73,4,2004,1,6,2537.876115,393.0833333
40,5,2005,1,9,1956.44143,405
53,3,2007,1,6,1771.814938,64
22,2,1985,10,6,3290.123092,87
53,3,1980,1,5,1686.008284,243.0833333
70,3,2006,1,6,1697.818152,208.6666667
30,3,2006,24,6,1897.17877,149.6666667
56,1,2003,8,3,2913.608873,82.75
56,4,1985,1,8,2322.214122,151
49,4,2003,1,9,667.6746349,292.8333333
49,4,2007,1,11,1680.991347,362.1666667
44,3,2006,1,6,1681.856006,136
32,2,1980,4,4,3253.504725,88
41,4,2006,1,8,3150.904173,319.75
60,4,2007,1,8,2634.125652,175
76,3,1985,1,6,3070.624029,241.5
93,4,1990,1,10,5062.809758,341.25
63,3,2003,1,7,2307.590911,227.0833333
57,3,1985,4,5,2883.492117,101.3333333
82,2,1985,20,4,2706.013826,147
68,3,1985,1,7,3340.727045,420.3333333
61,3,1985,1,6,2750.21992,354.3333333
52,3,2004,1,7,2746.918545,173.0833333
88,2,1985,1,5,2766.639237,96
38,2,2008,1,4,829.9011957,82.83333333
23,1,1985,36,3,2675.162705,60
31,3,2003,1,6,3695.44528,121
49,4,2007,1,9,1273.488497,245
42,2,1980,100,4,2498.177341,124
45,3,2007,1,6,1866.624301,189.6666667
44,4,1985,1,10,2600.981973,277.6666667
74,2,1990,10,4,2045.685993,167
71,3,2005,3,6,1781.345753,242
46,2,2001,1,4,346.6991469,222
62,3,2006,2,6,1265.699183,130
31,3,1980,2,5,2531.117158,375.25
31,3,2003,1,6,2479.19726,164.3333333
64,3,1980,1,7,2051.452496,387.1666667
77,3,1985,1,6,2784.713308,154.6666667
58,3,2004,1,6,2911.030467,168
42,3,2006,1,6,1735.259582,192.6666667
26,3,1980,1,5,2208.545904,172
-9,2,1980,8,4,1398.155239,39
55,2,1980,23,5,2637.091325,151.3333333
41,1,1985,8,3,2254.420084,131
72,1,1985,10,3,2058.796158,100
68,3,2008,2,5,3939.776151,144
-9,3,2005,1,6,1425.710279,273
-9,2,2007,24,5,1777.805413,0
-9,3,2008,1,6,1620.642314,0
60,2,1980,30,6,1720.6245,76
82,3,1980,1,8,2553.093256,287
30,1,1985,4,3,2179.288035,123
50,2,1985,8,4,3039.225232,132
70,2,1950,1,4,2515.717907,127.1666667
19,2,1985,8,3,1978.223082,84
69,3,2006,1,6,1600.495143,202
43,4,2009,1,9,636.2987455,381.8333333
43,2,2005,1,5,2296.860082,121
26,3,1980,1,6,2468.594679,261.6666667
43,2,1980,13,4,1660.447776,40
59,4,1980,1,9,2040.300058,430.3333333
29,3,1980,1,6,2428.094987,161
39,4,2005,1,8,1727.912478,543
55,2,2007,1,6,2515.203794,138
54,4,1980,1,8,2451.791009,815.4166667
59,4,1985,1,10,2666.202703,287.4166667
59,4,2008,1,7,2662.757904,98.66666667
29,4,2008,1,7,2969.546988,107
61,5,1980,1,10,2295.321208,306.3333333
68,3,1985,1,6,2554.703037,218.8333333
53,4,2003,1,8,2764.585381,307
82,3,2005,1,7,2249.03798,146.5
32,3,2009,1,6,1963.309358,165
62,1,1985,8,3,2067.003569,72
-9,2,1980,2,4,1375.438366,76.75
50,3,2008,1,5,1828.534905,178.75
53,4,1980,1,9,2310.821477,308.9166667
28,3,2006,1,5,1672.931756,214
-9,1,2009,297,4,760.713819,123.5
-9,4,1980,1,7,1758.183825,135.9166667
29,4,2003,1,8,4105.736207,577.0833333
49,4,2003,1,7,3415.21411,347.8333333
26,1,2005,6,3,4256.170749,9
35,4,2005,1,8,2397.110101,312.8333333
62,4,2005,1,8,2159.418695,111.8333333
40,4,2005,1,7,3307.03804,180.8333333
33,4,2005,1,6,2441.512248,414.8333333
41,4,2005,1,9,3521.441734,263.5
56,2,1980,7,4,3195.27718,215.0833333
63,3,2003,1,8,1315.580997,269.25
45,3,2008,1,7,2866.692659,69
32,2,1985,13,5,5215.464046,105
-9,2,1985,12,5,1394.858099,0
68,3,1985,1,8,2211.301948,207
34,4,1990,1,8,3572.108977,325.3333333
58,1,1980,32,4,2127.480202,84
33,3,2004,1,5,2851.745543,215.8333333
-9,2,2006,35,5,1261.541246,0
47,4,2006,1,7,2095.485142,276.5
59,3,2007,1,8,3066.00609,183.25
25,2,1985,12,4,3335.030889,91.66666667
35,4,2005,1,9,2717.317963,273
49,1,2008,32,3,1507.715392,146
45,3,2008,1,8,2926.117873,378
76,2,1980,3,4,2592.216216,142
30,2,2008,1,4,4081.063332,124
49,3,2005,1,8,655.1850878,205
81,2,1990,1,4,2014.501144,125.9166667
31,3,2004,1,6,264.0359624,333.5
81,1,1980,16,3,674.0046685,96
44,3,1990,1,7,3191.684061,325.5833333
41,3,1985,2,5,1955.668991,87.08333333
52,3,2008,1,7,833.2184185,133.4166667
38,4,1985,1,9,2722.320212,366.3333333
85,3,1980,1,6,694.5638048,302.3333333
54,3,1980,1,5,2360.135538,181
61,1,1980,4,4,2496.385057,93
56,1,1980,11,3,2088.181087,101
35,1,1980,11,3,1930.611574,101
45,4,2003,1,6,4010.883297,194
66,1,1980,1,4,2571.342486,175.3333333
25,2,1985,1,4,2771.036623,144
41,2,1985,4,4,3104.208339,69.33333333
56,3,1990,1,6,3546.018369,132.6666667
60,4,2003,1,8,1905.187285,176
28,3,2007,1,6,3294.527908,136.5
56,3,1985,1,6,2338.227683,131
71,1,2004,2,3,799.1066393,94
65,2,1985,1,4,2744.739201,245
49,3,1980,1,8,2432.990847,260.6666667
63,3,1985,1,7,2775.973352,107
38,3,1980,1,6,3376.501208,200
-9,1,1985,16,3,776.9058308,72
49,3,2004,1,6,1760.603333,204.5833333
60,3,1980,1,10,2297.552028,311
55,4,2004,1,9,624.3728719,311
-9,1,1980,16,4,136.38834,0
44,4,1980,1,8,2707.787386,257.3333333
26,2,2004,1,4,3332.770657,305.5833333
-9,1,2004,70,3,1379.432766,128
43,3,2005,1,6,2096.704897,176
33,5,2005,1,9,5169.031605,334.6666667
64,6,2005,1,9,2191.27199,374.8333333
31,3,2005,1,7,2441.512248,196.5
57,3,2005,1,6,1762.746015,185.8333333
50,5,2004,1,8,2038.282198,215.8333333
-9,2,1985,16,4,1606.42976,49
80,3,1980,1,6,2498.455184,134
66,1,1985,8,3,2592.900752,64
-9,5,2005,1,11,1315.608337,16.66666667
31,2,2003,1,5,3231.79951,193
39,3,2004,1,7,2528.994966,113
93,3,2005,1,6,1965.469855,160
-9,3,2006,30,5,885.4708853,60
69,2,2007,20,4,2230.44373,91
72,3,2006,1,6,2122.470112,221.3333333
46,3,1985,1,5,2721.825622,137
35,5,2004,1,13,3492.757402,607
41,5,2007,1,9,3307.03804,426
39,3,2006,1,6,2358.674478,159
61,4,1980,1,8,1526.808538,158
-9,3,1980,1,6,1306.502295,40
87,3,1980,1,6,2615.674825,71
56,4,2005,1,7,1957.581628,244.5
53,5,2007,1,9,2839.461764,288.6666667
-9,4,1980,1,9,1215.21532,41.66666667
51,3,1980,1,5,2262.288527,201
33,1,1985,8,3,3757.635316,77
59,3,1985,1,5,2475.141278,534
41,3,2005,1,6,2601.968819,134.6666667
27,1,2005,24,4,2405.437993,76
29,1,1980,18,3,2530.891531,130
46,5,2004,1,9,2517.14258,285
70,2,2007,1,4,2026.916046,111
29,1,1980,8,4,2310.995599,90.33333333
-9,5,2009,1,11,1622.028934,0
42,3,2007,1,6,1885.2975,281
47,5,2008,1,8,1983.373313,197
-9,3,1985,8,6,1574.973368,149
27,2,1985,4,4,2293.03823,199
65,3,1985,1,6,869.5240066,272.1666667
40,3,2003,1,6,1883.057229,115
49,3,2005,1,6,2692.223428,128
35,2,2008,1,5,2578.909079,138.6666667
62,3,1985,1,9,2674.133383,292.3333333
33,5,2005,1,9,2644.461278,281
74,2,2008,1,7,1556.604415,272.0833333
58,3,2005,1,5,1832.854557,182
37,4,2008,1,8,2013.080544,300.3333333
26,2,2004,24,5,2380.656956,145
32,2,2004,12,4,2952.414201,59
81,2,2004,36,5,2150.45199,60
62,2,2006,1,6,2470.015584,152
36,3,2003,1,6,3661.622781,207
44,1,1980,10,4,1770.972873,103
72,3,2004,1,7,2874.192669,635.0833333
65,2,2004,2,6,2914.85724,170
65,4,1980,1,6,2413.832777,269.8333333
21,1,2005,8,4,2358.16848,64
23,1,1980,8,3,2835.464462,74
46,3,2005,1,5,2251.993216,181
43,5,2005,1,8,2656.70513,312.8333333
63,3,2006,2,5,1785.460743,216.6666667
52,3,2004,1,9,2924.387854,207.6666667
42,4,2004,1,8,2881.131379,202.25
-9,1,1980,8,4,1622.814773,116
50,4,2007,1,8,1699.22713,23.83333333
63,2,1980,1,5,3034.190387,158
54,1,2009,310,4,2056.313314,80
65,3,1990,1,6,3948.508519,186.8333333
49,3,2007,1,6,2097.534398,227.6666667
88,3,1985,1,5,2698.328233,124
58,4,1985,1,8,945.7995482,237.1666667
42,1,1980,8,3,1913.397192,76.66666667
33,3,1990,1,7,3337.407622,189.6666667
56,3,2004,1,7,271.8434532,217
42,4,2004,1,9,1098.383851,319.8333333
58,2,2004,1,4,995.3211039,172.1666667
35,2,2004,1,6,1218.842108,109
34,4,2004,1,9,1302.174482,186.1666667
39,3,2003,1,5,890.0974486,218
37,4,2004,1,7,719.7493804,486
52,4,1980,1,9,1148.163046,443.4166667
44,4,2004,1,7,2812.31328,372
58,3,1985,1,7,1969.957206,404.6666667
37,2,2003,1,4,2284.127075,48
19,2,2005,4,4,1938.669217,93.33333333
69,2,2005,2,4,2618.435044,80
38,3,2005,1,6,2360.168681,502.6666667
80,4,2007,1,8,2146.869846,250.25
37,4,2006,1,8,2545.417712,265
-9,2,2008,13,4,1521.427638,149.6666667
68,3,2004,1,6,2546.748182,62
61,3,2009,1,6,1943.875747,271
80,2,2004,1,4,2761.184092,146
45,1,1995,10,3,1791.668763,118
54,1,1980,100,4,2062.556348,167
54,3,1980,1,7,2884.776177,449
-9,3,1980,1,6,1758.183825,10.16666667
32,1,1980,12,3,2367.552073,0
43,4,2004,1,8,2681.308875,427.1666667
28,2,1985,6,4,3882.367687,168
40,3,1980,1,7,2250.369478,190
47,3,2004,1,6,2677.184467,177.3333333
65,4,2007,1,10,2935.347882,497.5833333
62,5,1985,1,9,2957.427774,302
-9,3,1985,1,6,691.3796588,0
21,1,2004,12,3,2644.906838,46
27,3,2008,1,6,2922.990539,375.9166667
40,4,2005,1,8,2969.73844,147
75,3,1990,8,6,3102.887806,128.3333333
47,2,1990,8,6,3175.829812,98.66666667
78,1,1980,100,3,170.9025702,28
60,4,1985,1,9,2550.502209,255
43,2,1985,6,4,4904.097216,141.4166667
-9,1,1985,8,3,1574.973368,60
20,2,1980,4,4,1951.806988,46
43,4,2007,8,8,1997.21851,80
27,4,2007,1,6,2508.272069,180
50,2,2007,1,5,2116.650047,108
31,2,1985,1,4,2898.569294,55
31,2,1980,1,5,2623.131529,75
48,2,1980,2,4,2357.787417,44
-9,1,1980,10,3,932.6410947,175.3333333
19,2,1980,1,5,3932.79762,240
71,2,2006,1,6,668.878663,273.6666667
58,2,1985,1,6,939.2458702,299
57,2,1980,4,5,3061.705471,33
50,5,2004,1,9,1996.645419,145.3333333
79,2,2006,1,4,1613.930836,195
55,6,2008,1,10,444.5146356,303.3333333
31,2,2003,7,5,2898.27261,75
56,3,2004,1,6,2029.710095,104
64,3,2007,1,6,1205.666164,135.1666667
25,4,2004,1,9,2910.340334,331.6666667
26,1,2005,10,4,2258.573365,99
33,3,2005,10,6,2021.712372,212
36,3,2004,1,6,1902.712872,165.3333333
59,3,2005,1,7,842.4805485,180.8333333
30,2,1980,8,5,3615.773475,102
48,0,2004,36,3,1394.247278,78
34,2,2001,2,4,722.0916486,0
50,3,1980,1,6,2567.076325,142.1666667
37,5,2004,1,8,3141.05042,141.6666667
58,2,1980,1,4,3577.745794,0
48,5,2005,1,8,2349.601877,328
72,4,2004,1,6,4163.326957,278
33,4,2003,1,9,3023.124963,220.5
81,4,2004,1,8,2692.777564,329.4166667
45,4,2006,1,8,1878.319366,288.5
48,1,1985,16,3,2672.38977,54
52,3,1990,4,6,2957.781195,147
39,3,1980,1,7,893.4324792,414.6666667
-9,2,1990,1,3,2897.488911,0
23,2,1985,12,4,1780.675823,203.1666667
67,1,1985,12,3,1401.051768,57
71,3,2007,1,7,2718.819959,204
65,4,1985,1,9,2797.067157,136
47,4,2007,1,6,1771.050331,216.25
30,4,2008,1,8,3418.454242,271.3333333
51,2,2005,8,4,3193.663473,79
80,3,1980,1,7,1519.533838,200
63,3,1990,1,6,4528.892304,128
74,4,1985,1,7,2247.072194,171
51,2,1980,1,5,2632.581192,259
54,3,2004,1,6,2653.05367,402
71,4,2005,1,7,1783.790864,244
51,4,2006,1,8,2784.963546,126
41,3,2005,1,7,2435.121436,269.3333333
35,3,2007,1,5,2321.83456,178
76,3,1980,16,5,2030.56749,217.6666667
77,2,1980,1,4,2456.094665,108
26,1,1990,16,4,3323.179517,66
60,3,1980,1,7,2166.737666,139.3333333
30,2,2004,8,4,2599.053519,97
29,3,2005,1,6,2810.26892,224
67,2,2004,4,4,2095.824572,71
54,2,1985,1,6,3636.62827,280.6666667
37,5,2004,1,9,2504.571832,220
27,2,2012,22,4,3417.85167,86
40,5,2005,1,10,2832.828362,296.3333333
41,3,2006,1,5,2284.670262,222.3333333
25,2,2005,4,4,2057.644524,127.8333333
50,3,2005,4,5,2478.879114,95.83333333
44,4,1985,1,10,2722.320212,231
-9,2,1985,16,4,1472.038648,66
70,3,1980,1,6,3510.956659,165
37,3,2004,3,5,1265.975888,191
49,3,2006,1,5,1306.752627,499
-9,2,2005,3,4,1279.351339,0
84,1,1980,150,3,1490.631093,40
46,4,2009,3,6,1388.898898,65
54,3,2007,1,8,1120.660898,205.6666667
46,3,1990,1,7,3666.771041,212.9166667
33,2,1980,1,6,5382.702613,243
29,1,2006,8,3,2182.65086,103.6666667
53,2,1980,8,5,2366.256246,213
62,3,1990,1,5,3257.965593,148
32,2,2007,177,5,3709.732165,67
76,3,1985,1,8,3047.382516,365
47,4,2003,1,7,1265.142927,204.6666667
-9,3,2004,1,8,3181.88881,83.33333333
46,4,2006,1,10,2169.338711,384.8333333
49,3,2006,1,6,2110.355618,254
42,3,2008,1,7,2673.991148,130
61,4,1985,1,6,3147.499286,228.3333333
43,4,2003,1,9,2881.131379,274.6666667
80,3,2004,12,6,2397.515699,172
33,4,2007,1,9,3135.726805,182
77,3,1980,1,8,2463.237647,315.0833333
25,2,1980,8,4,1840.524636,61
21,2,1990,2,4,3152.000477,129
62,3,2000,1,5,687.6660524,76
67,2,2001,1,6,778.4216657,204.6666667
63,2,2005,1,5,439.4873431,230.3333333
24,2,1980,24,4,3263.291819,103
39,2,1980,4,5,2885.722167,97.91666667
30,2,1990,1,4,4153.678643,105
36,3,2004,1,5,1826.372155,211
43,3,2004,1,6,2160.924648,243
45,5,2005,1,11,2320.504398,173
60,4,2005,1,11,1793.945223,318
-9,2,2007,24,5,1454.693138,178.0833333
51,3,2006,1,6,2345.072339,177
35,4,2008,1,6,2394.203333,238
35,4,1980,1,9,619.2733902,531.3333333
39,3,2007,2,7,1415.381367,436.5
65,2,1985,16,5,2822.175251,84
64,4,1985,1,8,2255.611435,238
42,3,1980,3,6,1143.526582,183
65,3,1985,1,7,2622.972234,311
73,5,2003,1,9,2746.002104,279.0833333
57,2,2006,4,5,2108.079914,102
36,4,2008,1,9,2832.828362,171.6666667
57,4,1980,1,8,2292.781114,298
72,1,1985,9,3,2592.900752,89
40,3,2006,1,6,2518.684313,95
67,3,1980,1,6,2572.19162,265.6666667
55,4,2004,1,11,1363.993738,262.5
43,4,1990,1,9,3866.998919,286.3333333
49,6,2003,1,11,2024.753171,611.4166667
49,5,2005,1,8,1054.033483,473
64,2,1980,200,5,1740.51476,85
32,2,1990,4,4,3031.890419,428.4166667
26,2,1980,4,4,2650.054663,192.6666667
72,3,2004,1,5,1154.472087,176.75
60,2,1980,1,4,2314.174609,176
62,4,1980,1,8,2317.15725,192.1666667
41,4,2007,1,7,2218.133418,234.6666667
36,3,2007,1,5,2022.98036,137
51,4,1980,1,9,3174.970923,305
37,2,1980,1,4,2572.646292,261
33,2,2005,1,4,2402.664031,192.6666667
65,1,1980,12,3,1600.682796,48
33,3,2004,1,6,3465.325322,95
27,3,2005,1,6,2638.470443,212
67,2,2007,1,5,1476.167442,124
29,1,1980,1,4,4126.620583,91.66666667
62,3,1985,1,6,2588.800279,356.3333333
63,2,1985,1,4,3175.5047,159
93,1,1985,110,3,1763.036047,0
26,2,1980,8,4,2345.396199,59.75
70,3,1980,1,6,2400.275749,246.6666667
34,3,2004,1,6,3515.433894,250.8333333
31,2,1980,1,5,5351.627006,95
-9,4,2007,1,8,1622.028934,100
48,2,1980,1,5,2804.623275,98.66666667
71,2,1980,1,6,2471.357288,165.9166667
71,2,2008,1,5,2846.79292,153
54,4,1985,1,7,2255.391847,256
28,2,1980,8,4,2940.346063,240
34,3,2004,16,5,3160.788979,118.6666667
63,3,1990,1,7,3847.094574,240
56,3,2007,1,7,2871.845417,323
39,2,1990,4,4,3007.873883,158
59,3,2004,1,12,1164.649858,313.3333333
44,3,2003,1,8,670.3272187,274
60,3,2007,1,6,2591.351847,201
32,4,2005,1,7,795.1120388,171
40,3,1980,1,7,2440.441324,368
65,5,2005,1,9,2549.595294,211.25
84,1,1990,91,3,353.4270154,0
79,0,1980,98,1,2619.668395,0
51,3,2008,1,7,2680.965116,270
35,2,1980,2,5,1973.52745,154.6666667
47,3,1985,1,7,3005.89612,211
50,2,2005,1,5,2976.881717,220.6666667
50,3,1985,1,8,2371.130902,268
27,3,2003,1,5,1828.862909,230
58,3,2006,1,7,1978.505266,205
43,4,2005,1,10,2521.896475,125
42,4,2001,1,9,594.1828057,232.3333333
37,4,2002,1,9,594.1828057,358.3333333
59,3,2000,1,7,423.7881341,172.3333333
44,4,2000,1,9,594.1828057,408.5
67,4,2006,1,9,667.1873065,260.5
56,3,2005,1,7,587.4182634,274.3333333
30,3,2008,1,6,1910.887166,215
65,3,1990,1,6,4633.396007,119
66,4,2004,1,8,2965.943018,349.5
52,4,1980,1,9,2538.409179,313
50,3,2004,1,5,562.7157754,439.9166667
-9,3,2007,1,5,1058.629804,9.166666667
33,3,2005,1,6,1463.815701,180.8333333
61,2,1980,12,5,538.9403894,90
31,1,1985,162,3,1231.193778,28
93,2,1990,344,4,1147.897152,109
45,2,1980,5,4,1848.416777,128
63,3,1980,1,8,2691.225465,359.6666667
61,2,1985,1,6,5026.69495,200
35,2,1985,8,5,2107.129458,229
52,2,1980,6,4,2558.234739,83
21,4,2011,4,8,2065.591796,0
51,2,1980,4,6,2127.781195,210.8333333
46,4,2005,1,7,655.0899941,238.6666667
32,3,2008,1,5,3678.185242,134.8333333
62,3,2003,1,7,1744.913745,212
56,2,2004,1,4,2237.562824,175.8333333
26,3,2007,1,7,2761.297961,149
42,4,2006,1,9,2129.204923,424
93,3,2007,1,5,632.9704879,205
31,1,1985,118,4,2477.425791,60
46,3,1985,1,6,2389.333422,295.3333333
85,3,2003,1,12,3961.62948,243.3333333
-9,2,2006,16,4,1005.791218,0
-9,1,1985,288,4,1488.121028,103
32,2,2005,1,5,2441.506944,226
68,3,2003,1,5,2383.589971,192.6666667
36,3,2005,1,5,1574.10738,273.3333333
37,4,2006,1,7,1890.948703,246.8333333
-9,1,1985,16,3,1606.42976,60
33,4,1985,1,8,3208.177498,77
27,3,1985,6,5,2513.907542,200
66,3,2005,1,7,3331.095394,165
41,4,2005,1,8,2417.922674,240
49,3,1980,1,5,2178.937419,277
33,3,2007,1,7,2958.461726,287.0833333
65,2,2005,1,6,2204.279704,235.3333333
68,3,1980,1,10,3120.531424,246.3333333
61,4,2007,1,8,3277.299283,133
39,2,1980,3,5,3100.22638,58
-9,1,1985,8,3,1394.858099,145
71,3,1985,1,5,2463.004275,184
24,2,1980,8,4,2626.031384,138
50,3,2003,1,5,1909.909047,266.0833333
52,3,2005,1,6,3009.451154,245
35,3,2006,1,5,1662.555598,229
64,3,1980,1,6,2436.756246,264
22,2,1980,2,4,3715.855062,76
48,3,1980,1,5,2774.81255,145.6666667
28,3,1985,1,6,2260.529785,233
58,3,1980,1,6,2346.71675,211
32,3,1990,1,5,6748.132831,512.25
23,1,1980,8,3,4086.907163,52.66666667
42,4,2006,1,7,2562.329163,312
-9,1,1985,196,3,2393.177851,58
-9,3,1980,1,6,1642.24199,157.8333333
61,3,2004,1,6,1393.082108,236
25,2,1990,2,4,3441.565384,90
24,2,1985,5,4,3304.148095,78
38,3,1985,1,6,2971.768788,290.6666667
47,4,2006,1,9,2634.187454,635
-9,2,1980,1,5,1982.357206,70
74,3,2006,1,6,2895.520987,188.3333333
-9,2,2008,6,5,2164.444232,44
24,3,2004,1,5,4192.547087,164
25,3,2007,1,5,3511.74528,260.6666667
51,4,1990,1,9,3682.872883,458.5
60,3,2006,1,7,2779.718027,252.5833333
27,1,2004,24,3,2118.713709,60
-9,1,2006,145,4,1750.097499,0
22,2,2009,12,4,2310.444267,270
34,4,2008,1,7,2448.400376,237
-9,3,1980,20,6,1410.775827,107
59,3,1985,1,5,2942.252076,342.0833333
-9,3,1980,1,7,1727.202274,145
58,5,2004,1,9,2567.375036,221.3333333
36,4,2007,1,8,1977.224478,257.3333333
71,2,1985,4,5,2328.789193,112
36,2,1980,8,4,1942.744,144.3333333
38,2,1980,8,4,2583.111639,79
25,4,1985,8,6,184.3925815,83
54,4,1985,1,9,2852.657499,216
44,2,1985,63,5,2803.348639,213.3333333
24,3,1985,1,6,2185.193004,138.3333333
32,3,1980,1,5,3782.038301,259
36,3,1980,1,5,2282.950892,165
